Comment,Sentiment,clean_text,Predicted_Sentiment,Predicted_Category,Confidence_Score
i was totally shocked that fusion power generation wasnt included possibly as big a leap as quantum computing in its impact on humanity,negative,i was totally shocked that fusion power generation wasnt included possibly as big a leap as quantum computing in its impact on humanity,negative,Other Negative,0.31244558095932007
i wish that when people talked about types of skin damage theyd acknowledge what that looks like for people with darker skin we dont get red rashes after sunburn even my darkest bruises are often difficult to spot because of hyperpigmentation the stages of healing for cuts looks vastly different because we dont see the same change in colors around the wound sight not to mention when you look for images to identify clinical signs 99 of those images are of lighter skin and only marginally helpful to us looking to identify potentially serious medical issues,negative,i wish that when people talked about types of skin damage theyd acknowledge what that looks like for people with darker skin we dont get red rashes after sunburn even my darkest bruises are often difficult to spot because of hyperpigmentation the stages of healing for cuts looks vastly different because we dont see the same change in colors around the wound sight not to mention when you look for images to identify clinical signs 99 of those images are of lighter skin and only marginally helpful to us looking to identify potentially serious medical issues,negative,Misinformation,0.4771425127983093
my son had botox injections in his legs for years to relax his muscles enough so he could wear splits he has cerebral palsy its crazy knowing that this life changing treatment is also the most dangerous poison,negative,my son had botox injections in his legs for years to relax his muscles enough so he could wear splits he has cerebral palsy its crazy knowing that this life changing treatment is also the most dangerous poison,negative,Toxicity,0.6378492116928101
my mom wouldve gone nuts for you while i was growing up lol her big parent fear was toxic chemicals and me getting poisoned so she was always lecturing me about stuff under the sink and making sure i didnt touch the pesticides for the farm once she figured out she could call pbs and theyd send her mr yuck stickers the house and barn were covered in them,negative,my mom wouldve gone nuts for you while i was growing up lol her big parent fear was toxic chemicals and me getting poisoned so she was always lecturing me about stuff under the sink and making sure i didnt touch the pesticides for the farm once she figured out she could call pbs and theyd send her mr yuck stickers the house and barn were covered in them,negative,Toxicity,0.5838714241981506
one really important point those ionizers can produce potentially dangerous levels of ozone due to the negative ions they create in the air id be cautious of all air ionizers unless they are advertised specifically as bipolar ionizers the one that you recommended does produce ozone which can be very harmful,negative,one really important point those ionizers can produce potentially dangerous levels of ozone due to the negative ions they create in the air id be cautious of all air ionizers unless they are advertised specifically as bipolar ionizers the one that you recommended does produce ozone which can be very harmful,negative,Other Negative,0.6368979215621948
you missed a feature on the airbolt instead of using the big part of the loop to lock your zippers lock the zippers on the loop where the 2 notches are that way you cant open the bag 3 inches,negative,you missed a feature on the airbolt instead of using the big part of the loop to lock your zippers lock the zippers on the loop where the 2 notches are that way you cant open the bag 3 inches,negative,Other Negative,0.6821596622467041
i wasn’t prepared for the immediate start lol,negative,i wasn t prepared for the immediate start lol,negative,Aggressive Behavior,0.3986269533634186
in my experience burnout comes from realizing that improved performance doesnt produce improved rewards it produces more work the response to a job well done is never a couple days off or a timely bonus instead good work is rewarded with the demand for twice as much work in the same amount of time firms see young workers as a productivity sponge to be squeezed for all its worth young people are almost never treated as the companys future,negative,in my experience burnout comes from realizing that improved performance doesnt produce improved rewards it produces more work the response to a job well done is never a couple days off or a timely bonus instead good work is rewarded with the demand for twice as much work in the same amount of time firms see young workers as a productivity sponge to be squeezed for all its worth young people are almost never treated as the companys future,negative,Other Negative,0.492168664932251
i am 50 years old working in the high tech industry mentally tired and sick of the weekly 8 to 5 routine never got a proper day off even through the pandemic hats off to the millenials and genz that think differently and put more weight on living rather than just working,negative,i am 50 years old working in the high tech industry mentally tired and sick of the weekly 8 to 5 routine never got a proper day off even through the pandemic hats off to the millenials and genz that think differently and put more weight on living rather than just working,negative,Other Negative,0.4463648200035095
i think the pandemic has taught people the importance of multiple streams of income unfortunately having a job doesn’t mean security,negative,i think the pandemic has taught people the importance of multiple streams of income unfortunately having a job doesn t mean security,negative,Other Negative,0.5679005980491638
those window breakers seems like an easy way to rob someone’s car,negative,those window breakers seems like an easy way to rob someone s car,negative,Other Negative,0.5267816185951233
that motion alarm for protecting your laptop makes me laugh if you are taking a break away from your workplace do you really think that the alarm feature would deter a thief from simply knocking the device to the floor pick up the laptop and perhaps step on the alarm and crush it in a moment of disdain by the time you get back with your latte after your phone notifies you of your impending bad luck your laptop will be off on an extended trip,negative,that motion alarm for protecting your laptop makes me laugh if you are taking a break away from your workplace do you really think that the alarm feature would deter a thief from simply knocking the device to the floor pick up the laptop and perhaps step on the alarm and crush it in a moment of disdain by the time you get back with your latte after your phone notifies you of your impending bad luck your laptop will be off on an extended trip,negative,Misinformation,0.35598024725914
the trene control alarm will not deter someone who really wants it they will just knock that gadget off and run with your property,negative,the trene control alarm will not deter someone who really wants it they will just knock that gadget off and run with your property,negative,Aggressive Behavior,0.5522626042366028
i spent hours researching dash cams a year or so ago and it’s almost maddening how awful sparse and misrepresented information on dash cams is i was totally surprised how under developed they are this is a video that is really necessary,negative,i spent hours researching dash cams a year or so ago and it s almost maddening how awful sparse and misrepresented information on dash cams is i was totally surprised how under developed they are this is a video that is really necessary,negative,Misinformation,0.6794681549072266
i had my suspicions about this for a long time thank you for finally calling this issue out it sounds like theres a hole in the market for a truly high quality dashcam thats not chinese crap hopefully some tech company sees this and swoops in im tired of all these countless trash brands on amazon with unpronounceable names,negative,i had my suspicions about this for a long time thank you for finally calling this issue out it sounds like theres a hole in the market for a truly high quality dashcam thats not chinese crap hopefully some tech company sees this and swoops in im tired of all these countless trash brands on amazon with unpronounceable names,negative,Other Negative,0.4236021041870117
ive been wanting to make this video for such a long time that royole display was just so hard to get hold of by holy cow was it worth it to check out my other ridiculous tech unboxings,negative,ive been wanting to make this video for such a long time that royole display was just so hard to get hold of by holy cow was it worth it to check out my other ridiculous tech unboxings,negative,Aggressive Behavior,0.2372974306344986
i’ve been holding out cause i just felt it wasn’t worth upgrading but with everything coming to the 14 pro and the diminishing battery on my current iphone x it might be time to retire my phone after 5 years,neutral,i ve been holding out cause i just felt it wasn t worth upgrading but with everything coming to the 14 pro and the diminishing battery on my current iphone x it might be time to retire my phone after 5 years,negative,Other Negative,0.4995824992656708
reminder do not fall for the fake telegram and whatsapp accounts trying to have you claim a prize through texting them its fake and a scam i personally contact the winners through my official account only,negative,reminder do not fall for the fake telegram and whatsapp accounts trying to have you claim a prize through texting them its fake and a scam i personally contact the winners through my official account only,negative,Misinformation,0.5275558233261108
teachers there are no stupid questions wolfgang puck well tracey thats a stupid question,negative,teachers there are no stupid questions wolfgang puck well tracey thats a stupid question,negative,Other Negative,0.37736356258392334
he seems like such a fun person omg “keep calm and smoke a joint” “let me teach you english” “tracy that’s a stupid question” “idk what school you’re going to but maybe you should change schools” im dead,neutral,he seems like such a fun person omg keep calm and smoke a joint let me teach you english tracy that s a stupid question idk what school you re going to but maybe you should change schools im dead,negative,Misinformation,0.34283748269081116
the price of todays bikes is absolutely bonkers doesnt make any sense whatsoever if you compare it to motorcycles or even cars,negative,the price of todays bikes is absolutely bonkers doesnt make any sense whatsoever if you compare it to motorcycles or even cars,negative,Other Negative,0.5443135499954224
the price of the roadgoing kawasaki really tells how overpriced the push bikes are,negative,the price of the roadgoing kawasaki really tells how overpriced the push bikes are,negative,Other Negative,0.44058725237846375
as a lapsed superbike obsessive it always bothered me hearing gcn call top road bikes superbikes now i mostly watch cycling and im used to it,negative,as a lapsed superbike obsessive it always bothered me hearing gcn call top road bikes superbikes now i mostly watch cycling and im used to it,negative,Other Negative,0.3602312207221985
oppo did oneplus so dirty  heart breaks for oneplus fans rip oxygen os and oneplus,negative,oppo did oneplus so dirty heart breaks for oneplus fans rip oxygen os and oneplus,negative,Other Negative,0.6128221154212952
man oneplus is in the wrong direction after carl pei left from flagship killer to forgettable company,negative,man oneplus is in the wrong direction after carl pei left from flagship killer to forgettable company,negative,Other Negative,0.7089192867279053
lots of profit negative tech startup companies with an over abundant of overpaid employees…honestly who hasn’t seen this coming,negative,lots of profit negative tech startup companies with an over abundant of overpaid employees honestly who hasn t seen this coming,negative,Other Negative,0.5591292381286621
what slowdown lol it was abnormally fast and now with the recession vcs realized many of these startups aren’t profitable so they laid off people the big ones are still hiring and tech adoption isn’t nearly as much for it to slow down anytime soon,negative,what slowdown lol it was abnormally fast and now with the recession vcs realized many of these startups aren t profitable so they laid off people the big ones are still hiring and tech adoption isn t nearly as much for it to slow down anytime soon,negative,Misinformation,0.40573903918266296
slow hirings may be caused by a rapid rising labor cost in hi tech ind,negative,slow hirings may be caused by a rapid rising labor cost in hi tech ind,negative,Other Negative,0.6885659098625183
thats really a problem with service economy most tech companies dont even produce a nail they do things that are intangible you cay easily live without them if netflix goes down i am sure there will not be any catastrophic event if some manufacturing companies goes down lets say the one that makes baby formula it could trigger a panic,negative,thats really a problem with service economy most tech companies dont even produce a nail they do things that are intangible you cay easily live without them if netflix goes down i am sure there will not be any catastrophic event if some manufacturing companies goes down lets say the one that makes baby formula it could trigger a panic,negative,Other Negative,0.8504918813705444
it still blows my mind that companies have entire teams deciding whether or not a flavor is going to appeal to the masses and yet somehow swedish fish flavored oreos were still greenlit,negative,it still blows my mind that companies have entire teams deciding whether or not a flavor is going to appeal to the masses and yet somehow swedish fish flavored oreos were still greenlit,negative,Inappropriate Content,0.43517088890075684
when i was a kid in kindergarten we did an experiment with that old fake five flavors taste zones thing and i never got it i could always taste everything on every part of my tongue i felt vindicated like two decades later when it came out that that was horsecrap but i cant exactly go rub it in my kindergarten teachers face can i,negative,when i was a kid in kindergarten we did an experiment with that old fake five flavors taste zones thing and i never got it i could always taste everything on every part of my tongue i felt vindicated like two decades later when it came out that that was horsecrap but i cant exactly go rub it in my kindergarten teachers face can i,negative,Misinformation,0.5873759984970093
honestly my main take away is that ive been saying tinnitus wrong my whole life,negative,honestly my main take away is that ive been saying tinnitus wrong my whole life,negative,Misinformation,0.832650899887085
the universal hate for printers is what unites humanity,negative,the universal hate for printers is what unites humanity,negative,Toxicity,0.38767433166503906
im just shocked and saddened that theyve ignored the most significant vacuum cleaner advance the retractable cord,negative,im just shocked and saddened that theyve ignored the most significant vacuum cleaner advance the retractable cord,negative,Other Negative,0.5223835706710815
i can confirm her squirrel facts i raised an orphaned one and it was the sweetest cuddliest pet until it almost grown woke up one morning an she acted like a wild animal biting scratching trying to eat my face off it was a sad day but ive checked wanting a squirrel off my list,negative,i can confirm her squirrel facts i raised an orphaned one and it was the sweetest cuddliest pet until it almost grown woke up one morning an she acted like a wild animal biting scratching trying to eat my face off it was a sad day but ive checked wanting a squirrel off my list,negative,Aggressive Behavior,0.8525733351707458
i swear to god every can i have this exotic pet question can just be answered with the words do you know what domestication is and how long it takes,negative,i swear to god every can i have this exotic pet question can just be answered with the words do you know what domestication is and how long it takes,negative,Other Negative,0.2784503996372223
declawing cats stop calling it declawing it has nothing to do with the claws as the vet said it is amputating the toes cats have claws if you have a problem with claws dont get a cat,negative,declawing cats stop calling it declawing it has nothing to do with the claws as the vet said it is amputating the toes cats have claws if you have a problem with claws dont get a cat,negative,Misinformation,0.6875730156898499
thank you for addressing declawing cats and how awful and hurtful it is to the cat,negative,thank you for addressing declawing cats and how awful and hurtful it is to the cat,negative,Toxicity,0.5014000535011292
i have a cat who was declawed by a previous owner he has so many behavioral issues that are typical of declawed cats he was just at the vet yesterday for litter box issues and the vet brought up the fact that he was declawed declawing inflicts lifelong trauma on the animal,negative,i have a cat who was declawed by a previous owner he has so many behavioral issues that are typical of declawed cats he was just at the vet yesterday for litter box issues and the vet brought up the fact that he was declawed declawing inflicts lifelong trauma on the animal,negative,Other Negative,0.7073417901992798
exotic animals as pets should be illegal tigers dont belong in farms sugar gliders dont belong in apartments sad to see that this happens still,negative,exotic animals as pets should be illegal tigers dont belong in farms sugar gliders dont belong in apartments sad to see that this happens still,negative,Inappropriate Content,0.7560207843780518
i still have my copy of eddie borysewiczs bicycle road racing 1985 in it he discusses practicing tumbling and diving somersaults in a gym to improve your crash response unfortunately i havent practiced that but my last inelegant dismount was at low speed so only some skin lost,neutral,i still have my copy of eddie borysewiczs bicycle road racing 1985 in it he discusses practicing tumbling and diving somersaults in a gym to improve your crash response unfortunately i havent practiced that but my last inelegant dismount was at low speed so only some skin lost,negative,Other Negative,0.46904170513153076
askgcntech after two years of running tubes i finally went tubeless a couple of months ago i managed to puncture my tyre the other day sealant didn’t do the trick nor did a couple of slugs even tried a patch inside the tyre the puncture was not on the sidewall and may have been 3mm large given the tire had plenty of life left i am gutted that i may have to discard the tire now when would you come to a decision that a tubeless tire is ko,negative,askgcntech after two years of running tubes i finally went tubeless a couple of months ago i managed to puncture my tyre the other day sealant didn t do the trick nor did a couple of slugs even tried a patch inside the tyre the puncture was not on the sidewall and may have been 3mm large given the tire had plenty of life left i am gutted that i may have to discard the tire now when would you come to a decision that a tubeless tire is ko,negative,Other Negative,0.6670802235603333
another problem with filling tires with water is that the first bump you hit will probably cause the tire to blow off the rim water is incompressible unlike air so it has to go somewhere when the tire volume gets changed due to an impact,negative,another problem with filling tires with water is that the first bump you hit will probably cause the tire to blow off the rim water is incompressible unlike air so it has to go somewhere when the tire volume gets changed due to an impact,negative,Other Negative,0.9733407497406006
askgcntech as a heavier rider i feel i’m always in the max range of gears either hardest gear on flat’sh roads or my easiest gear when i see any sustained gradients i currently run a compact chain set with a 1230 cassette on the rear would i benefit from upping my chain set to give me more usable gears or would this just make my climbing problem even worse due to the worse range at the rear,negative,askgcntech as a heavier rider i feel i m always in the max range of gears either hardest gear on flat sh roads or my easiest gear when i see any sustained gradients i currently run a compact chain set with a 1230 cassette on the rear would i benefit from upping my chain set to give me more usable gears or would this just make my climbing problem even worse due to the worse range at the rear,negative,Other Negative,0.7416789531707764
when someone tells a lie deep down they know this is wrong they have no compassion,negative,when someone tells a lie deep down they know this is wrong they have no compassion,negative,Inappropriate Content,0.30473771691322327
when you as an employee are fired from a company and the reasons they are giving you are “poor performance or lack of culture fit” trust me when i tell you the real reasons are not disclosed been there done that companies lie hr works for the company and also lies and a corporation hierarchy matters when you lawyer up is when they start taking you a bit more seriously,negative,when you as an employee are fired from a company and the reasons they are giving you are poor performance or lack of culture fit trust me when i tell you the real reasons are not disclosed been there done that companies lie hr works for the company and also lies and a corporation hierarchy matters when you lawyer up is when they start taking you a bit more seriously,negative,Misinformation,0.7110816836357117
all the musk haters who said he was doing this for laughs are salty rn,negative,all the musk haters who said he was doing this for laughs are salty rn,negative,Misinformation,0.27221521735191345
most tech companies let things like this slide all the time…,negative,most tech companies let things like this slide all the time,negative,Inappropriate Content,0.5025696158409119
karma hit twitter hard ,negative,karma hit twitter hard,negative,Aggressive Behavior,0.40811431407928467
when it comes to a person journalist slander up and down when it’s a company you say they are allegations,negative,when it comes to a person journalist slander up and down when it s a company you say they are allegations,negative,Other Negative,0.3145630359649658
fun fact even though the employees get 5000 for an upgrade it usually does not cover the cost of the things linus breaks,neutral,fun fact even though the employees get 5000 for an upgrade it usually does not cover the cost of the things linus breaks,negative,Other Negative,0.6755454540252686
“once you spend 5 to 10 grand on magic cards you kinda don’t wanna pay for them anymore” really hits home for me,negative,once you spend 5 to 10 grand on magic cards you kinda don t wanna pay for them anymore really hits home for me,negative,Other Negative,0.6471643447875977
just a note on the screw driver put some extended bits with it or a smaller precision screw driver in the set with it its very common for some screws to be deep in a hole and having those small bits into hex end wont go in far enough down the hole to extract screw i see this allot on laptops controllers that kinda thing sunk in screws suck,negative,just a note on the screw driver put some extended bits with it or a smaller precision screw driver in the set with it its very common for some screws to be deep in a hole and having those small bits into hex end wont go in far enough down the hole to extract screw i see this allot on laptops controllers that kinda thing sunk in screws suck,negative,Other Negative,0.7864134311676025
arun this product killed over a hundred people also arun 7 out of 10,negative,arun this product killed over a hundred people also arun 7 out of 10,negative,Other Negative,0.5245751142501831
arun this product destroyed the entirety of earth also arun 6 out of 10 fail,negative,arun this product destroyed the entirety of earth also arun 6 out of 10 fail,negative,Other Negative,0.7561141848564148
great to see you including a wider variety of stuff in these videos beyond just electronic devices especially the pharmaceutical industry if youre going to include banned medications then the top of the list in your next video should be thalidomide what it did was absolutely tragic it was banned decades ago yet people are still suffering and living with severe disabilities to this day thousands of families destroyed and lives lost too,negative,great to see you including a wider variety of stuff in these videos beyond just electronic devices especially the pharmaceutical industry if youre going to include banned medications then the top of the list in your next video should be thalidomide what it did was absolutely tragic it was banned decades ago yet people are still suffering and living with severe disabilities to this day thousands of families destroyed and lives lost too,negative,Other Negative,0.6140950918197632
there was also another problem with the fitbit when some of the straps would irritate your skin and leave a rash and still the company hasnt dealt with it yet,negative,there was also another problem with the fitbit when some of the straps would irritate your skin and leave a rash and still the company hasnt dealt with it yet,negative,Other Negative,0.9668779373168945
1035 this is a common misconception while part of the reason was the battery being too thin the main issue was a manufacturing defect in the corner of most of the batteries at launch which was a tiny dent in the top left corner this would cause the battery to eventually short out as the dent caused both terminals to eventually touch each other most peoples phones were exploding while fast charging which was likely due to the increased power going through the battery and lithiumion batteries do not take well to being shorted out like that edit normally defects of that scale would be perfectly fine and would never cause issues but they made the battery too thin meaning it shorted it out easier just wanted to clarify that,negative,1035 this is a common misconception while part of the reason was the battery being too thin the main issue was a manufacturing defect in the corner of most of the batteries at launch which was a tiny dent in the top left corner this would cause the battery to eventually short out as the dent caused both terminals to eventually touch each other most peoples phones were exploding while fast charging which was likely due to the increased power going through the battery and lithiumion batteries do not take well to being shorted out like that edit normally defects of that scale would be perfectly fine and would never cause issues but they made the battery too thin meaning it shorted it out easier just wanted to clarify that,negative,Misinformation,0.9237539768218994
last week they said to sell it all now they say buy glad i never listen to these frauds,negative,last week they said to sell it all now they say buy glad i never listen to these frauds,negative,Misinformation,0.6870186924934387
for those who are curious not only is it widely accepted that an asteroid wiped out the dinosaurs but we also know exactly where the asteroid landed its called the chicxulub crater its located on the northern coast of the yucatan peninsula and has been carbondated to have formed in that time period and it size of the crater certainly looks catastrophic enough,negative,for those who are curious not only is it widely accepted that an asteroid wiped out the dinosaurs but we also know exactly where the asteroid landed its called the chicxulub crater its located on the northern coast of the yucatan peninsula and has been carbondated to have formed in that time period and it size of the crater certainly looks catastrophic enough,negative,Other Negative,0.3554423153400421
the way he factually states the world is a sphere makes you feel like hes heard even weirder statements before and this is just another misconception he corrects ,negative,the way he factually states the world is a sphere makes you feel like hes heard even weirder statements before and this is just another misconception he corrects,negative,Misinformation,0.7138642072677612
the biggest problem is colleges charging outrages tuition fees causing this to happen,negative,the biggest problem is colleges charging outrages tuition fees causing this to happen,negative,Aggressive Behavior,0.47271984815597534
so everyone who couldn’t afford college will have to pay for those who did……why not make college affordable in the first place,negative,so everyone who couldn t afford college will have to pay for those who did why not make college affordable in the first place,negative,Other Negative,0.6287205815315247
regulate college tuition so that this doesn’t happen again please otherwise this will be pointless,negative,regulate college tuition so that this doesn t happen again please otherwise this will be pointless,negative,Other Negative,0.6106727123260498
when colleges knew about this watch them charge more tuition then you will know why college is expensive in the first place,negative,when colleges knew about this watch them charge more tuition then you will know why college is expensive in the first place,negative,Other Negative,0.7341690063476562
he needs to find a way to get schools to lower their tuition rates and quit trying to game a broken student loan system this will just keep happening and its not going to stop idealistic young people from taking out massive debt on a useless degree the schools need to be regulated if they take govt funds then they should be subject to immediate regulation,negative,he needs to find a way to get schools to lower their tuition rates and quit trying to game a broken student loan system this will just keep happening and its not going to stop idealistic young people from taking out massive debt on a useless degree the schools need to be regulated if they take govt funds then they should be subject to immediate regulation,negative,Other Negative,0.4498829245567322
the states deregulated tuition and fees so the colleges could charge more then they used that money to hire more administrators and build more buildings the students are not just paying for their education they are also paying for all the things the colleges wanted but the states did not want to give them money for nobody talks about that,negative,the states deregulated tuition and fees so the colleges could charge more then they used that money to hire more administrators and build more buildings the students are not just paying for their education they are also paying for all the things the colleges wanted but the states did not want to give them money for nobody talks about that,negative,Other Negative,0.28661736845970154
there is no such thing as loan cancellation its merely a transfer do people not understand how this works,negative,there is no such thing as loan cancellation its merely a transfer do people not understand how this works,negative,Misinformation,0.895219624042511
im trying to hold onto hope and positivity for new york state but every year it gets harder and harder,negative,im trying to hold onto hope and positivity for new york state but every year it gets harder and harder,negative,Other Negative,0.35178717970848083
nadler shouldnt be allowed to drive much less wield power,negative,nadler shouldnt be allowed to drive much less wield power,negative,Aggressive Behavior,0.572353720664978
funny how democrats always choose the old white man lol,negative,funny how democrats always choose the old white man lol,negative,Other Negative,0.31133386492729187
a population of mass psychosis,negative,a population of mass psychosis,negative,Other Negative,0.5310007333755493
it never matter how win the question is is the state is any better under either politicians all politicians are very corrupt,negative,it never matter how win the question is is the state is any better under either politicians all politicians are very corrupt,negative,Other Negative,0.5035654306411743
ny democrats never cease to amaze me…picking the absolute worst representatives possible thanks jim eagle,negative,ny democrats never cease to amaze me picking the absolute worst representatives possible thanks jim eagle,negative,Other Negative,0.602440595626831
to be clear its not alleged war crimes they have tried and convicted people for them already so yes war crimes are being committed in ukraine just because you dont like saying it doesnt change that its actually happening to the people it affects,negative,to be clear its not alleged war crimes they have tried and convicted people for them already so yes war crimes are being committed in ukraine just because you dont like saying it doesnt change that its actually happening to the people it affects,negative,Misinformation,0.5830214023590088
i whole heartedly agree with the guy from nato who was saying that europe and the us will pay a high price this winter for supporting ukraine this winter but not supporting them will cost us even more the biggest threat to ukraine right now is that the rest of us will lose interest and abandon them ukraine needs to get all their territory back or russia is just going to eat them in bites and then they will move to the next nation that they want to add back to the soviet union,negative,i whole heartedly agree with the guy from nato who was saying that europe and the us will pay a high price this winter for supporting ukraine this winter but not supporting them will cost us even more the biggest threat to ukraine right now is that the rest of us will lose interest and abandon them ukraine needs to get all their territory back or russia is just going to eat them in bites and then they will move to the next nation that they want to add back to the soviet union,negative,Other Negative,0.3284159302711487
happy independence day to ukraine and glory  the reason why i support ukraine because i’m human and i support human rights and if ukraine surrenders there will be no more ukraine and it won’t save lives it will only end up in a brutal occupation like bucha irpin and mariupol massacre the main goal of russia is that they want to destroy ukraine as a nation just like rome destroyed carthage russians don’t treat ukrainians as people,negative,happy independence day to ukraine and glory the reason why i support ukraine because i m human and i support human rights and if ukraine surrenders there will be no more ukraine and it won t save lives it will only end up in a brutal occupation like bucha irpin and mariupol massacre the main goal of russia is that they want to destroy ukraine as a nation just like rome destroyed carthage russians don t treat ukrainians as people,negative,Aggressive Behavior,0.5847395062446594
do you remember what happens when we give unaccounted money and weapons to countries to fight proxy wars we keep making the same mistakes over and over,negative,do you remember what happens when we give unaccounted money and weapons to countries to fight proxy wars we keep making the same mistakes over and over,negative,Other Negative,0.537682056427002
notice how the guy calling in keeps saying we in regards to ukraine weird,negative,notice how the guy calling in keeps saying we in regards to ukraine weird,negative,Other Negative,0.23384174704551697
our government should be held accountable for the pointless expense on this war they already have genocidal turkey helping them and they will still lose at the end all this money could have gone to peoplegovernment took 6 months with vacations to send us measly dimes during covidbut billions they send at a whim,negative,our government should be held accountable for the pointless expense on this war they already have genocidal turkey helping them and they will still lose at the end all this money could have gone to peoplegovernment took 6 months with vacations to send us measly dimes during covidbut billions they send at a whim,negative,Aggressive Behavior,0.34768781065940857
i hate to say it but i don’t think the ukrainians are going to be able to counter attack remember ukraine uses 5000 artillery shells a day russia on the other hand is using 500000 shells a day russia has the most tanks in world there isn’t a shortage of there wasn’t a shortage then how come luhansk has fallen let’s not get ahold of ourselves,negative,i hate to say it but i don t think the ukrainians are going to be able to counter attack remember ukraine uses 5000 artillery shells a day russia on the other hand is using 500000 shells a day russia has the most tanks in world there isn t a shortage of there wasn t a shortage then how come luhansk has fallen let s not get ahold of ourselves,negative,Other Negative,0.38621222972869873
saddakur incoming when he can’t deliver the sheer overconfidence they project as underdogs is off putting not in touch with reality,negative,saddakur incoming when he can t deliver the sheer overconfidence they project as underdogs is off putting not in touch with reality,negative,Misinformation,0.6054615378379822
